resource_name,image_url
"Exemples de décisions de justice en ACM 4","https://fr.vecteezy.com/png-gratuit/justice?page=10"
"Exemples de décisions de justice en ACM 5","https://fr.vecteezy.com/png-gratuit/justice?page=10"
"Exemples de décisions de justice en ACM 6","https://fr.vecteezy.com/png-gratuit/justice?page=10"
"Exemples de décisions de justice en ACM 7","https://fr.vecteezy.com/png-gratuit/justice?page=10"
"Exemples de décisions de justice en ACM 8","https://fr.vecteezy.com/png-gratuit/justice?page=10"
"Exemples de décisions de justice en ACM 9","https://fr.vecteezy.com/png-gratuit/justice?page=10"
"Exemples de décisions de justice en ACM","https://fr.vecteezy.com/png-gratuit/justice?page=10"
"Fonction FG BAFD","https://www.jeunes.gouv.fr/le-brevet-d-aptitude-aux-fonctions-d-animateur-bafa-253"
"Les activités spécifiques","https://fr.freepik.com/photos-vecteurs-libre/activites"
"Les responsabilités","https://www.flaticon.com/kr/free-icon/social-responsibility_12316687"
"Locaux","https://www.planistudio.com/plan/180916"
"Santé et hygiène","https://fr.pngtree.com/freepng/teaching-hygiene-and-hand-washing-to-kindergarten-students-by-their-teacher-vector_12961211.html"
"Taux d'encadrement","https://www.pinterest.com/pin/taux-dencadrement-en-acm--773000723532494781/"
"Bilan de mi stage","https://jeanjacquesgallay-scionzier.ent.auvergnerhonealpes.fr/le-college/actualites/rapport-de-stage-3eme-suivez-le-mode-d-emploi--1132.htm"
"CGF2 - Mener un temps d'échange","https://fce.cfdt.fr/le-libre-echange-une-liberte-a-encadrer/"
"CGF3 - Relations au sein d'un stage","https://www.carenews.com/fr/news/6118-quand-stage-en-entreprise-rime-avec-engagement-associatif"
"CGF4 - Apports Analyses","https://www.agri53.fr/matriser-des-intrants-les-resultats-de-lessai-systeme-de-saint-fort"
"FA1 - Favoriser l'apprentissage","https://ecole.caroline-aigle.fr/2021/06/12/faciliter-lapprentissage-de-son-enfant/"
"FA2 - Objectifs et méthodes de formation","https://www.didask.com/post/formation-pedagogique-objectifs-methodes-evaluations"
"Temps pour soi pour ACM","https://www.coupdepouce.com/article/6-raisons-de-prendre-du-temps-pour-soi-1412471994"
"Classeur formateurs.trices","https://www.facebook.com/bafa.bafd.ifac/posts/se-former-pour-mieux-performer-le-week-end-de-regroupement-national-des-formateu/1135652551894433/"
"Livret BAFA - 2022","https://www.calameo.com/ifac/books/00547260407e5d2258c73"
"Livret BAFD","https://www.calameo.com/ifac/books/0054726047e033e780908"
"Livret Formateurs BAFA - Animer des Activités Scientifiques","https://francas13.fr/activites-scientifiques/"
"Livret stagiaires BAFA - Animer des Activités Scientifiques","https://blog.edumoov.com/10-idees-d-activites-pour-faire-vivre-les-sciences-en-classe/"
"Accessoires de costumation","https://www.istockphoto.com/fr/photos/accessoires-mode"
"Aménagement de la régie","https://fr.pinterest.com/deborahseguin45/r%C3%A9gie/"
"Inventaire régie","https://www.nidimages.ch/post/comment-choisir-le-mat%C3%A9riel-p%C3%A9dagogique-adapt%C3%A9-%C3%A0-l-%C3%A2ge-de-l-enfant"
"Jeu sur le tri","https://www.didacto.com/ecologie-et-environnement/30281-jeu-du-tri-s-l-ctif-3664944335337.html"
"Lieu pour faire de la récup","https://www.harmonie-sante.fr/societe/initiatives-solidaires/donner-ses-livres-comment-faire"
"Liste de matériaux à dénicher","https://www.istockphoto.com/fr/photos/objet-recycle"
"Petites astuces de récupération","https://www.mariage.com/idees-de-mariage/idee-recup-puis-creer-pages-livres-recyclees"
"CONSEILS POUR LA REDACTION DES APPRECIATIONS","https://fr.freepik.com/icones/conseil"
"Évaluation des temps de réflexion","https://www.istockphoto.com/fr/photo/temps-de-r%C3%A9flexion-business-gm832255216-135422883"
"EVALUATION DES TEMPS D'ANIMATION","https://www.focus-emploi.com/5482090/mediation-technique-et-brevet/"
"Model de rapport NS","https://www.spreadshirt.fr/shop/design/cest+pas+satisfaisant+humour+t-shirt+homme-D630cd701f7555b00bdf1ac83?sellable=qrkXME4eo3sRemLjbN7R-6-7"
"PISTES D'ANALYSES ANIMATIONS","https://99designs.fr/blog/video-animation-fr/outils-video/"
"Rapport de session non satisfaisante","https://www.flaticon.com/fr/icone-gratuite/rapport_1055644"
"Méthode du Bonhomme","https://www.istockphoto.com/fr/photos/bonhomme-dessin"
"Méthode étude de cas","https://www.prox-i.pf/blog/letude-de-cas-un-puissant-outil-de-recrutement"
"Méthode Quiz","https://www.numipage.com/education-5-outils-pedagogiques-en-ligne-simples-pour-creer-des-quiz/"
"séance oral et gestuel","https://www.bayard-jeunesse.com/infos/pour-apprendre-et-creer/18-conseils-pour-briller-a-l-oral/?srsltid=AfmBOop6MJIV3TQ7i9GTevIrgAmX2HVejkSy3g9aXNTfM1hrVKyHPtDm"
"méthode du Bonhomme","https://www.jeuxetcompagnie.fr/coloriages-personnages-imprimer/"
"méthode étude de cas","https://www.prox-i.pf/blog/letude-de-cas-un-puissant-outil-de-recrutement"
"méthode Quiz","https://fr.freepik.com/photos-vecteurs-libre/logo-quiz-jeu"
"Jeu de la rivière","https://www.istockphoto.com/fr/vectoriel/jeu-fond-de-rivi%C3%A8re-bleue-dessin-anim%C3%A9-gm914763946-251763248"
"Bases cachées","https://www.freepik.es/vector-premium/ocultar-buscar-ilustracion-vectorial_28044625.htm"
"Couples de célébrités","https://fr.pngtree.com/freepng/beautiful-couple-in-love-on-valentines-day-happy_14314876.html"
"Jeu à 10 balles","https://www.regles-jeux-plein-air.com/regle-de-la-passe-a-dix/"
"Le terrier du lapin","https://www.istockphoto.com/fr/illustrations/terrier-lapin"
"Marchand de sable","https://video-a-la-demande.orange.fr/film/LEMARCHANDDW0051104/le-marchand-de-sable"
"Strike","https://www.stickpng.com/fr/img/sport/bowling/bowling-strike"
"Totem","https://www.vecteezy.com/png/47270513-carved-wooden-totem-pole-with-eagle-design"
"Tremblement de terre","https://fr.pngtree.com/free-png-vectors/un-tremblement-de-terre"
